%ID	Proteina	Grasa	Humedad	TBVN	Histamina
820.5	0.88223	0.97605	0.84185	0.89513	0.86847
822.6	0.90309	1.044	0.92409	0.88013	0.85956
824.7	0.93784	1.0228	0.92413	0.90841	0.97436
826.8	1.0564	0.9517	0.98592	0.98233	1.0746
828.9	1.108	0.90021	1.0105	0.97933	1.0706
831.0	1.0799	0.84377	1.0268	0.96017	0.9813
833.1	1.0178	0.87412	0.916	0.94517	0.99558
835.1	0.99318	0.84657	0.92754	0.93144	0.96786
837.2	0.9795	0.83559	0.89142	0.9127	0.92289
839.3	1.0019	0.84008	0.88279	0.91454	0.93686
841.4	0.96703	0.84474	0.88797	0.91572	0.93002
843.5	0.95995	0.84246	0.89406	0.90942	0.92209
845.6	0.93773	0.84852	0.87129	0.89998	0.89378
847.7	0.89322	0.83377	0.84486	0.90212	0.87279
849.8	0.89162	0.84033	0.84752	0.8851	0.87029
851.9	0.88369	0.87285	0.83542	0.90089	0.8631
854.0	0.86726	0.84938	0.81764	0.89451	0.8729
856.1	0.86475	0.84963	0.82412	0.89662	0.87909
858.2	0.89588	0.87502	0.83496	0.90571	0.89089
860.3	0.93418	0.92438	0.8543	0.92335	0.91297
862.3	0.95405	0.92082	0.86718	0.93559	0.93352
864.4	0.96505	0.91754	0.89065	0.94204	0.9405
866.5	0.98848	0.91803	0.90444	0.95067	0.96688
868.6	1.0933	1.0099	1.0837	0.98523	0.9748
870.7	1.1609	1.0469	1.2111	1.0423	1.0564
872.8	1.1362	1.0842	1.1542	1.0092	1.0132
874.9	1.1276	0.94275	1.011	0.99165	1.0114
877.0	1.0947	1.0344	0.94755	1.0505	1.0848
879.1	1.1862	1.0818	0.96413	1.1646	1.2112
881.2	1.2577	1.1388	0.97279	1.1877	1.2362
883.3	1.2279	1.0952	0.98443	1.1884	1.2427
885.4	1.1934	1.0578	0.98267	1.1582	1.2176
887.4	1.1968	1.0167	1.0286	1.173	1.2262
889.5	1.2034	1.012	1.0547	1.1451	1.2149
891.6	1.2026	1.0267	1.056	1.1508	1.2275
893.7	1.216	1.0448	1.0443	1.1679	1.251
895.8	1.2595	1.1263	1.0577	1.1873	1.2632
897.9	1.3407	1.2492	1.1455	1.2192	1.292
900.0	1.3794	1.2702	1.1688	1.2891	1.3558
